department_id,department_name,factory_id
1,Analytical and Testing Lab,3
2,Autonomous maintenance,3
3,Business Performance Excellence - Saraburi,3
4,Business Stakeholder Engagement,3
5,Cement Plant Saraburi,3
6,Center of Excellence,3
7,Center of Excellence & Data Driven,3
8,Contractor Management,3
9,Data Analysis and Regulation,3
10,Digital Transformation,3
11,Digitalization,3
12,Electrical Expertise Service,3
13,Environmental Social and Governance,3
14,Facility Management,3
15,Government Liaison,3
16,Green Fuel Sourcing,3
17,HR Business Partner,3
18,HRM,3
19,Human Capital,3
20,License to Operate,3
21,Local Supply Chain Transformation,3
22,MRO - KK,3
23,Maintenance Repair Overhaul,3
24,Maintenance Repair Overhaul - Northeast,3
25,Maintenance Repair and Overhaul - Domestic,3
26,Maintenance Strategic Management,3
27,Maintenance Technology Management,3
28,Maintenance Workshop Service,3
29,Mineral and Sourcing Business,3
30,Mining & Circularity Operation - KK,3
31,Operation and Maintenance Service,3
32,Operations,3
33,Operations - KK,3
34,Operations - Mortar,3
35,People Management - KK,3
36,People Management -Green Solution Business,3
37,Quality Assurance - KK,3
38,Quarry,3
39,Reliability Center,3
40,Smart Green Business - Heavy Industrial,3
41,Smart Grid and Thermal Technology,3
42,Smart Maintenance Service,3
43,Smart TPM - KK,3
44,Store and Procurement-แก่งคอย,3
45,Sustainable Development - Saraburi,3
46,Waste to Value Complex,3
47,จัดหาและพัสดุวัตถุดิบ,3
48,พัสดุอะไหล่และทั่วไป,3
49,แก่งคอย,3
